,R_0,R_1,R_2,R_3,R_4,City_State,County_Name,Secondary_Name,State
585,612,708,931,1275,1466,"Cincinnati, OH-KY-IN  HUD Metro FMR Area",Warren County,Warren County,OH
586,498,572,754,986,1021,"Brown County, OH HUD Metro FMR Area",Brown County,Brown County,OH
587,659,680,813,1173,1427,"Grant County, KY HUD Metro FMR Area",Grant County,Grant County,KY
588,502,578,761,953,1072,"Union County, IN HUD Metro FMR Area",Union County,Union County,IN
589,624,745,937,1336,1592,"Clarksville, TN-KY MSA",Christian County,Christian County,KY
590,624,745,937,1336,1592,"Clarksville, TN-KY MSA",Trigg County,Trigg County,KY
591,624,745,937,1336,1592,"Clarksville, TN-KY MSA",Montgomery County,Montgomery County,TN
592,555,647,852,1087,1281,"Cleveland, TN MSA",Bradley County,Bradley County,TN
593,555,647,852,1087,1281,"Cleveland, TN MSA",Polk County,Polk County,TN
594,627,740,910,1200,1258,"Cleveland-Elyria, OH MSA",Cuyahoga County,Cuyahoga County,OH
595,627,740,910,1200,1258,"Cleveland-Elyria, OH MSA",Geauga County,Geauga County,OH
596,627,740,910,1200,1258,"Cleveland-Elyria, OH MSA",Lake County,Lake County,OH
597,627,740,910,1200,1258,"Cleveland-Elyria, OH MSA",Lorain County,Lorain County,OH
598,627,740,910,1200,1258,"Cleveland-Elyria, OH MSA",Medina County,Medina County,OH
599,716,762,973,1404,1708,"Coeur d'Alene, ID MSA",Kootenai County,Kootenai County,ID
600,717,831,985,1421,1729,"College Station-Bryan, TX MSA",Brazos County,Brazos County,TX
601,717,831,985,1421,1729,"College Station-Bryan, TX MSA",Burleson County,Burleson County,TX
602,717,831,985,1421,1729,"College Station-Bryan, TX MSA",Robertson County,Robertson County,TX
603,807,973,1238,1786,2174,"Colorado Springs, CO HUD Metro FMR Area",El Paso County,El Paso County,CO
604,767,894,1177,1698,1959,"Teller County, CO HUD Metro FMR Area",Teller County,Teller County,CO
605,724,784,946,1277,1634,"Columbia, MO MSA",Boone County,Boone County,MO
606,761,881,1003,1297,1607,"Columbia, SC HUD Metro FMR Area",Calhoun County,Calhoun County,SC
607,761,881,1003,1297,1607,"Columbia, SC HUD Metro FMR Area",Fairfield County,Fairfield County,SC
608,761,881,1003,1297,1607,"Columbia, SC HUD Metro FMR Area",Lexington County,Lexington County,SC
609,761,881,1003,1297,1607,"Columbia, SC HUD Metro FMR Area",Richland County,Richland County,SC
610,761,881,1003,1297,1607,"Columbia, SC HUD Metro FMR Area",Saluda County,Saluda County,SC
611,671,691,786,1116,1380,"Kershaw County, SC HUD Metro FMR Area",Kershaw County,Kershaw County,SC
612,638,720,849,1142,1491,"Columbus, GA-AL MSA",Russell County,Russell County,AL
613,638,720,849,1142,1491,"Columbus, GA-AL MSA",Chattahoochee County,Chattahoochee County,GA
614,638,720,849,1142,1491,"Columbus, GA-AL MSA",Harris County,Harris County,GA
615,638,720,849,1142,1491,"Columbus, GA-AL MSA",Marion County,Marion County,GA
616,638,720,849,1142,1491,"Columbus, GA-AL MSA",Muscogee County,Muscogee County,GA
617,778,782,941,1220,1307,"Columbus, IN MSA",Bartholomew County,Bartholomew County,IN
618,726,851,1063,1352,1553,"Columbus, OH HUD Metro FMR Area",Delaware County,Delaware County,OH
619,726,851,1063,1352,1553,"Columbus, OH HUD Metro FMR Area",Fairfield County,Fairfield County,OH
620,726,851,1063,1352,1553,"Columbus, OH HUD Metro FMR Area",Franklin County,Franklin County,OH
621,726,851,1063,1352,1553,"Columbus, OH HUD Metro FMR Area",Licking County,Licking County,OH
622,726,851,1063,1352,1553,"Columbus, OH HUD Metro FMR Area",Madison County,Madison County,OH
623,726,851,1063,1352,1553,"Columbus, OH HUD Metro FMR Area",Morrow County,Morrow County,OH
624,726,851,1063,1352,1553,"Columbus, OH HUD Metro FMR Area",Pickaway County,Pickaway County,OH
625,564,568,717,1001,1048,"Hocking County, OH HUD Metro FMR Area",Hocking County,Hocking County,OH
626,537,598,787,989,1197,"Perry County, OH HUD Metro FMR Area",Perry County,Perry County,OH
627,712,792,1043,1321,1478,"Union County, OH HUD Metro FMR Area",Union County,Union County,OH
628,765,841,1064,1415,1659,"Corpus Christi, TX HUD Metro FMR Area",Nueces County,Nueces County,TX
629,765,841,1064,1415,1659,"Corpus Christi, TX HUD Metro FMR Area",San Patricio County,San Patricio County,TX
630,643,756,861,1242,1283,"Aransas County, TX HUD Metro FMR Area",Aransas County,Aransas County,TX
631,925,1054,1252,1806,2198,"Corvallis, OR MSA",Benton County,Benton County,OR
632,1006,1012,1193,1633,2094,"Crestview-Fort Walton Beach-Destin, FL HUD Metro FMR Area",Okaloosa County,Okaloosa County,FL
633,827,851,969,1398,1701,"Walton County, FL HUD Metro FMR Area",Walton County,Walton County,FL
634,545,617,750,1010,1252,"Cumberland, MD-WV MSA",Allegany County,Allegany County,MD
635,545,617,750,1010,1252,"Cumberland, MD-WV MSA",Mineral County,Mineral County,WV
636,1046,1195,1436,1887,2472,"Dallas, TX HUD Metro FMR Area",Collin County,Collin County,TX
637,1046,1195,1436,1887,2472,"Dallas, TX HUD Metro FMR Area",Dallas County,Dallas County,TX
638,1046,1195,1436,1887,2472,"Dallas, TX HUD Metro FMR Area",Denton County,Denton County,TX
639,1046,1195,1436,1887,2472,"Dallas, TX HUD Metro FMR Area",Ellis County,Ellis County,TX
640,1046,1195,1436,1887,2472,"Dallas, TX HUD Metro FMR Area",Hunt County,Hunt County,TX
641,1046,1195,1436,1887,2472,"Dallas, TX HUD Metro FMR Area",Kaufman County,Kaufman County,TX
642,1046,1195,1436,1887,2472,"Dallas, TX HUD Metro FMR Area",Rockwall County,Rockwall County,TX
643,893,1008,1242,1683,2111,"Fort Worth-Arlington, TX HUD Metro FMR Area",Johnson County,Johnson County,TX
644,893,1008,1242,1683,2111,"Fort Worth-Arlington, TX HUD Metro FMR Area",Parker County,Parker County,TX
645,893,1008,1242,1683,2111,"Fort Worth-Arlington, TX HUD Metro FMR Area",Tarrant County,Tarrant County,TX
646,851,990,1175,1486,1857,"Hood County, TX HUD Metro FMR Area",Hood County,Hood County,TX
647,690,793,953,1364,1631,"Somervell County, TX HUD Metro FMR Area",Somervell County,Somervell County,TX
648,992,1021,1162,1448,1629,"Wise County, TX HUD Metro FMR Area",Wise County,Wise County,TX
649,562,627,751,1033,1103,"Dalton, GA HUD Metro FMR Area",Whitfield County,Whitfield County,GA
650,554,560,728,933,1017,"Murray County, GA HUD Metro FMR Area",Murray County,Murray County,GA
651,521,618,800,1047,1084,"Danville, IL MSA",Vermilion County,Vermilion County,IL
652,806,811,992,1355,1696,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,Baldwin County,AL
653,555,651,823,1087,1236,"Davenport-Moline-Rock Island, IA-IL MSA",Henry County,Henry County,IL
654,555,651,823,1087,1236,"Davenport-Moline-Rock Island, IA-IL MSA",Mercer County,Mercer County,IL
655,555,651,823,1087,1236,"Davenport-Moline-Rock Island, IA-IL MSA",Rock Island County,Rock Island County,IL
656,555,651,823,1087,1236,"Davenport-Moline-Rock Island, IA-IL MSA",Scott County,Scott County,IA
657,557,635,828,1114,1218,"Dayton, OH MSA",Greene County,Greene County,OH
658,557,635,828,1114,1218,"Dayton, OH MSA",Miami County,Miami County,OH
659,557,635,828,1114,1218,"Dayton, OH MSA",Montgomery County,Montgomery County,OH
660,506,575,724,937,1001,"Decatur, AL MSA",Lawrence County,Lawrence County,AL
661,506,575,724,937,1001,"Decatur, AL MSA",Morgan County,Morgan County,AL
662,517,620,793,1091,1124,"Decatur, IL MSA",Macon County,Macon County,IL
663,795,953,1177,1582,1791,"Deltona-Daytona Beach-Ormond Beach, FL HUD Metro FMR Area",Volusia County,Volusia County,FL
664,840,937,1192,1595,1791,"Palm Coast, FL HUD Metro FMR Area",Flagler County,Flagler County,FL
665,1210,1367,1700,2348,2701,"Denver-Aurora-Lakewood, CO MSA",Adams County,Adams County,CO
666,1210,1367,1700,2348,2701,"Denver-Aurora-Lakewood, CO MSA",Arapahoe County,Arapahoe County,CO
667,1210,1367,1700,2348,2701,"Denver-Aurora-Lakewood, CO MSA",Broomfield County,Broomfield County,CO
668,1210,1367,1700,2348,2701,"Denver-Aurora-Lakewood, CO MSA",Clear Creek County,Clear Creek County,CO
669,1210,1367,1700,2348,2701,"Denver-Aurora-Lakewood, CO MSA",Denver County,Denver County,CO
670,1210,1367,1700,2348,2701,"Denver-Aurora-Lakewood, CO MSA",Douglas County,Douglas County,CO
671,1210,1367,1700,2348,2701,"Denver-Aurora-Lakewood, CO MSA",Elbert County,Elbert County,CO
672,1210,1367,1700,2348,2701,"Denver-Aurora-Lakewood, CO MSA",Gilpin County,Gilpin County,CO
673,1210,1367,1700,2348,2701,"Denver-Aurora-Lakewood, CO MSA",Jefferson County,Jefferson County,CO
674,1210,1367,1700,2348,2701,"Denver-Aurora-Lakewood, CO MSA",Park County,Park County,CO
675,642,777,958,1293,1408,"Des Moines-West Des Moines, IA MSA",Dallas County,Dallas County,IA
676,642,777,958,1293,1408,"Des Moines-West Des Moines, IA MSA",Guthrie County,Guthrie County,IA
677,642,777,958,1293,1408,"Des Moines-West Des Moines, IA MSA",Madison County,Madison County,IA
678,642,777,958,1293,1408,"Des Moines-West Des Moines, IA MSA",Polk County,Polk County,IA
679,642,777,958,1293,1408,"Des Moines-West Des Moines, IA MSA",Warren County,Warren County,IA
680,687,822,1051,1361,1480,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",Lapeer County,Lapeer County,MI
681,687,822,1051,1361,1480,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",Macomb County,Macomb County,MI
682,687,822,1051,1361,1480,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",Oakland County,Oakland County,MI
683,687,822,1051,1361,1480,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",St. Clair County,St. Clair County,MI
684,687,822,1051,1361,1480,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",Wayne County,Wayne County,MI
685,696,849,1068,1453,1693,"Livingston County, MI HUD Metro FMR Area",Livingston County,Livingston County,MI
686,539,543,714,938,1066,"Dothan, AL HUD Metro FMR Area",Geneva County,Geneva County,AL
687,539,543,714,938,1066,"Dothan, AL HUD Metro FMR Area",Houston County,Houston County,AL
688,493,535,630,839,1106,"Henry County, AL HUD Metro FMR Area",Henry County,Henry County,AL
689,929,943,1102,1576,1890,"Dover, DE MSA",Kent County,Kent County,DE
690,541,630,830,1111,1368,"Dubuque, IA MSA",Dubuque County,Dubuque County,IA
691,642,665,872,1124,1367,"Duluth, MN-WI MSA",Carlton County,Carlton County,MN
692,642,665,872,1124,1367,"Duluth, MN-WI MSA",St. Louis County,St. Louis County,MN
693,642,665,872,1124,1367,"Duluth, MN-WI MSA",Douglas County,Douglas County,WI
694,979,996,1160,1558,1754,"Durham-Chapel Hill, NC HUD Metro FMR Area",Chatham County,Chatham County,NC
695,979,996,1160,1558,1754,"Durham-Chapel Hill, NC HUD Metro FMR Area",Durham County,Durham County,NC
696,979,996,1160,1558,1754,"Durham-Chapel Hill, NC HUD Metro FMR Area",Orange County,Orange County,NC
697,571,575,757,1015,1025,"Person County, NC HUD Metro FMR Area",Person County,Person County,NC
698,771,884,1120,1548,1783,"East Stroudsburg, PA MSA",Monroe County,Monroe County,PA
699,548,639,841,1139,1305,"Eau Claire, WI MSA",Chippewa County,Chippewa County,WI
700,548,639,841,1139,1305,"Eau Claire, WI MSA",Eau Claire County,Eau Claire County,WI
701,700,818,1075,1429,1825,"El Centro, CA MSA",Imperial County,Imperial County,CA
702,624,630,830,1197,1457,"Elizabethtown, KY HUD Metro FMR Area",Hardin County,Hardin County,KY
703,624,630,830,1197,1457,"Elizabethtown, KY HUD Metro FMR Area",Larue County,Larue County,KY
704,534,605,768,1108,1315,"Meade County, KY HUD Metro FMR Area",Meade County,Meade County,KY
705,560,663,860,1084,1188,"Elkhart-Goshen, IN MSA",Elkhart County,Elkhart County,IN
706,715,742,928,1225,1267,"Elmira, NY MSA",Chemung County,Chemung County,NY
707,581,729,891,1264,1517,"El Paso, TX HUD Metro FMR Area",El Paso County,El Paso County,TX
708,501,629,769,958,1309,"Hudspeth County, TX HUD Metro FMR Area",Hudspeth County,Hudspeth County,TX
709,570,664,875,1202,1261,"Enid, OK MSA",Garfield County,Garfield County,OK
710,620,642,828,1032,1122,"Erie, PA MSA",Erie County,Erie County,PA
711,817,944,1243,1793,2102,"Eugene-Springfield, OR MSA",Lane County,Lane County,OR
712,605,668,849,1108,1175,"Evansville, IN-KY MSA",Posey County,Posey County,IN
713,605,668,849,1108,1175,"Evansville, IN-KY MSA",Vanderburgh County,Vanderburgh County,IN
714,605,668,849,1108,1175,"Evansville, IN-KY MSA",Warrick County,Warrick County,IN
715,605,668,849,1108,1175,"Evansville, IN-KY MSA",Henderson County,Henderson County,KY
716,911,1061,1398,2017,2454,"Fairbanks, AK MSA",Fairbanks North Star Borough,Fairbanks North Star Borough,AK
717,587,714,881,1271,1547,"Fargo, ND-MN MSA",Clay County,Clay County,MN
718,587,714,881,1271,1547,"Fargo, ND-MN MSA",Cass County,Cass County,ND
719,737,748,863,1133,1265,"Farmington, NM MSA",San Juan County,San Juan County,NM
720,774,777,919,1279,1560,"Fayetteville, NC HUD Metro FMR Area",Cumberland County,Cumberland County,NC
721,671,698,795,1147,1396,"Hoke County, NC HUD Metro FMR Area",Hoke County,Hoke County,NC
722,617,665,852,1213,1496,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Benton County,Benton County,AR
723,617,665,852,1213,1496,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Madison County,Madison County,AR
724,617,665,852,1213,1496,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Washington County,Washington County,AR
725,573,589,671,912,924,"McDonald County, MO HUD Metro FMR Area",McDonald County,McDonald County,MO
726,1042,1108,1369,1788,2166,"Flagstaff, AZ MSA",Coconino County,Coconino County,AZ
727,545,644,836,1091,1134,"Flint, MI MSA",Genesee County,Genesee County,MI
728,654,658,845,1067,1313,"Florence, SC HUD Metro FMR Area",Florence County,Florence County,SC
729,530,636,740,975,1008,"Darlington County, SC HUD Metro FMR Area",Darlington County,Darlington County,SC
730,526,597,755,966,1259,"Florence-Muscle Shoals, AL MSA",Colbert County,Colbert County,AL
731,526,597,755,966,1259,"Florence-Muscle Shoals, AL MSA",Lauderdale County,Lauderdale County,AL
732,598,639,817,1089,1150,"Fond du Lac, WI MSA",Fond du Lac County,Fond du Lac County,WI
733,979,1096,1344,1939,2360,"Fort Collins, CO MSA",Larimer County,Larimer County,CO
734,513,537,707,979,1155,"Fort Smith, AR-OK HUD Metro FMR Area",Crawford County,Crawford County,AR
735,513,537,707,979,1155,"Fort Smith, AR-OK HUD Metro FMR Area",Sebastian County,Sebastian County,AR
736,513,537,707,979,1155,"Fort Smith, AR-OK HUD Metro FMR Area",Sequoyah County,Sequoyah County,OK
737,541,545,686,894,994,"Le Flore County, OK HUD Metro FMR Area",Le Flore County,Le Flore County,OK
738,540,646,810,1044,1145,"Fort Wayne, IN MSA",Allen County,Allen County,IN
739,540,646,810,1044,1145,"Fort Wayne, IN MSA",Wells County,Wells County,IN
740,540,646,810,1044,1145,"Fort Wayne, IN MSA",Whitley County,Whitley County,IN
741,735,838,1043,1485,1726,"Fresno, CA MSA",Fresno County,Fresno County,CA
742,563,567,746,944,1060,"Gadsden, AL MSA",Etowah County,Etowah County,AL
743,769,848,1036,1352,1403,"Gainesville, FL MSA",Alachua County,Alachua County,FL
744,769,848,1036,1352,1403,"Gainesville, FL MSA",Gilchrist County,Gilchrist County,FL
745,745,841,957,1273,1401,"Gainesville, GA MSA",Hall County,Hall County,GA
746,666,770,949,1267,1542,"Gettysburg, PA MSA",Adams County,Adams County,PA
747,702,790,1001,1289,1407,"Glens Falls, NY MSA",Warren County,Warren County,NY
748,702,790,1001,1289,1407,"Glens Falls, NY MSA",Washington County,Washington County,NY
749,650,654,862,1074,1444,"Goldsboro, NC MSA",Wayne County,Wayne County,NC
750,606,691,885,1277,1554,"Grand Forks, ND-MN MSA",Polk County,Polk County,MN
751,606,691,885,1277,1554,"Grand Forks, ND-MN MSA",Grand Forks County,Grand Forks County,ND
752,582,633,816,1118,1143,"Hall County, NE HUD Metro FMR Area",Hall County,Hall County,NE
753,527,560,738,1065,1296,"Hamilton County, NE HUD Metro FMR Area",Hamilton County,Hamilton County,NE
754,498,530,698,949,1046,"Howard County, NE HUD Metro FMR Area",Howard County,Howard County,NE
755,498,530,698,942,946,"Merrick County, NE HUD Metro FMR Area",Merrick County,Merrick County,NE
756,751,828,1091,1574,1915,"Grand Junction, CO MSA",Mesa County,Mesa County,CO
757,728,838,1022,1377,1574,"Grand Rapids-Wyoming, MI HUD Metro FMR Area",Kent County,Kent County,MI
758,754,776,883,1248,1398,"Holland-Grand Haven, MI HUD Metro FMR Area",Ottawa County,Ottawa County,MI
759,663,722,902,1212,1330,"Barry County, MI HUD Metro FMR Area",Barry County,Barry County,MI
760,655,659,824,1068,1342,"Montcalm County, MI HUD Metro FMR Area",Montcalm County,Montcalm County,MI
761,855,861,1134,1636,1991,"Grants Pass, OR MSA",Josephine County,Josephine County,OR
762,595,599,789,1104,1354,"Great Falls, MT MSA",Cascade County,Cascade County,MT
763,769,917,1135,1637,1989,"Greeley, CO MSA",Weld County,Weld County,CO
764,605,660,869,1227,1244,"Green Bay, WI HUD Metro FMR Area",Brown County,Brown County,WI
765,605,660,869,1227,1244,"Green Bay, WI HUD Metro FMR Area",Kewaunee County,Kewaunee County,WI
766,512,575,724,979,1158,"Oconto County, WI HUD Metro FMR Area",Oconto County,Oconto County,WI
767,734,779,897,1193,1379,"Greensboro-High Point, NC HUD Metro FMR Area",Guilford County,Guilford County,NC
768,734,779,897,1193,1379,"Greensboro-High Point, NC HUD Metro FMR Area",Randolph County,Randolph County,NC
769,545,548,722,954,978,"Rockingham County, NC HUD Metro FMR Area",Rockingham County,Rockingham County,NC
770,661,665,832,1181,1461,"Greenville, NC MSA",Pitt County,Pitt County,NC
771,608,655,812,1071,1319,"Anderson, SC HUD Metro FMR Area",Anderson County,Anderson County,SC
772,681,801,912,1221,1475,"Greenville-Mauldin-Easley, SC HUD Metro FMR Area",Greenville County,Greenville County,SC
773,681,801,912,1221,1475,"Greenville-Mauldin-Easley, SC HUD Metro FMR Area",Pickens County,Pickens County,SC
774,600,611,805,1017,1091,"Laurens County, SC HUD Metro FMR Area",Laurens County,Laurens County,SC
775,382,394,448,605,607,"Guayama, PR MSA",Arroyo Municipio,Arroyo Municipio,PR
776,382,394,448,605,607,"Guayama, PR MSA",Guayama Municipio,Guayama Municipio,PR
777,382,394,448,605,607,"Guayama, PR MSA",Patillas Municipio,Patillas Municipio,PR
778,723,769,889,1228,1441,"Gulfport-Biloxi, MS HUD Metro FMR Area",Hancock County,Hancock County,MS
779,723,769,889,1228,1441,"Gulfport-Biloxi, MS HUD Metro FMR Area",Harrison County,Harrison County,MS
780,676,754,870,1255,1527,"Pascagoula, MS HUD Metro FMR Area",Jackson County,Jackson County,MS
781,788,793,1007,1329,1759,"Martinsburg, WV HUD Metro FMR Area",Berkeley County,Berkeley County,WV
782,624,743,957,1361,1680,"Hagerstown, MD HUD Metro FMR Area",Washington County,Washington County,MD
783,690,695,902,1124,1222,"Hammond, LA MSA",Tangipahoa Parish,Tangipahoa Parish,LA
784,892,914,1129,1629,1748,"Hanford-Corcoran, CA MSA",Kings County,Kings County,CA
785,659,807,1012,1291,1371,"Harrisburg-Carlisle, PA MSA",Cumberland County,Cumberland County,PA
786,659,807,1012,1291,1371,"Harrisburg-Carlisle, PA MSA",Dauphin County,Dauphin County,PA
787,659,807,1012,1291,1371,"Harrisburg-Carlisle, PA MSA",Perry County,Perry County,PA
788,723,728,959,1263,1684,"Harrisonburg, VA MSA",Rockingham County,Rockingham County,VA
789,723,728,959,1263,1684,"Harrisonburg, VA MSA",Harrisonburg city,Harrisonburg city,VA
790,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Avon town,CT
791,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Berlin town,CT
792,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Bloomfield town,CT
793,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Bristol town,CT
794,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Burlington town,CT
795,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Canton town,CT
796,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,East Granby town,CT
797,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,East Hartford town,CT
798,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,East Windsor town,CT
799,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Enfield town,CT
800,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Farmington town,CT
801,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Glastonbury town,CT
802,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Granby town,CT
803,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Hartford town,CT
804,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Hartland town,CT
805,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Manchester town,CT
806,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Marlborough town,CT
807,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,New Britain town,CT
808,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Newington town,CT
809,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Plainville town,CT
810,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Rocky Hill town,CT
811,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Simsbury town,CT
812,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Southington town,CT
813,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,South Windsor town,CT
814,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Suffield town,CT
815,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,West Hartford town,CT
816,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Wethersfield town,CT
817,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Windsor town,CT
818,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Hartford County,Windsor Locks town,CT
819,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,Chester town,CT
820,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,Cromwell town,CT
821,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,Durham town,CT
822,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,East Haddam town,CT
823,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,East Hampton town,CT
824,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,Haddam town,CT
825,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,Middlefield town,CT
826,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,Middletown town,CT
827,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Middlesex County,Portland town,CT
828,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Andover town,CT
829,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Bolton town,CT
830,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Columbia town,CT
831,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Coventry town,CT
832,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Ellington town,CT
833,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Hebron town,CT
834,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Mansfield town,CT
835,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Somers town,CT
836,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Stafford town,CT
837,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Tolland town,CT
838,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Union town,CT
839,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Vernon town,CT
840,856,1060,1313,1636,1875,"Hartford-West Hartford-East Hartford, CT HUD Metro FMR Area",Tolland County,Willington town,CT
841,1001,1167,1537,2217,2699,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,Clinton town,CT
842,1001,1167,1537,2217,2699,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,Deep River town,CT
843,1001,1167,1537,2217,2699,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,Essex town,CT
844,1001,1167,1537,2217,2699,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,Killingworth town,CT
845,1001,1167,1537,2217,2699,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,Old Saybrook town,CT
846,1001,1167,1537,2217,2699,"Southern Middlesex County, CT HUD Metro FMR Area",Middlesex County,Westbrook town,CT
847,574,726,881,1142,1276,"Hattiesburg, MS MSA",Forrest County,Forrest County,MS
848,574,726,881,1142,1276,"Hattiesburg, MS MSA",Lamar County,Lamar County,MS
849,574,726,881,1142,1276,"Hattiesburg, MS MSA",Perry County,Perry County,MS
850,604,608,756,974,1099,"Hickory-Lenoir-Morganton, NC MSA",Alexander County,Alexander County,NC
851,604,608,756,974,1099,"Hickory-Lenoir-Morganton, NC MSA",Burke County,Burke County,NC
852,604,608,756,974,1099,"Hickory-Lenoir-Morganton, NC MSA",Caldwell County,Caldwell County,NC
853,604,608,756,974,1099,"Hickory-Lenoir-Morganton, NC MSA",Catawba County,Catawba County,NC
